t;Export_Amino_Acids;Export_Nitrates;Export_cytokinins;Unloading_Amino_Acids;Total_Transpiration;Unloading_Sucrose
71;0.05489832;0.05281900;0.00690277;1.29513497;0.00011317;43.31409774
72;0.07579896;0.07301880;0.00954943;1.43114662;0.00015629;48.93328506
73;0.10483715;0.10165010;0.01331016;1.60223144;0.00021752;56.17608948
74;0.09891343;0.09724802;0.01275858;1.76411474;0.00020827;63.27663189
75;0.10073271;0.10011859;0.01315911;1.89141191;0.00021454;69.12007640
76;0.06994828;0.07024405;0.00924992;1.93553911;0.00015063;71.47088820
77;0.02818494;0.02831241;0.00373239;1.84577794;0.00006069;68.30746536
78;0.02588435;0.02569371;0.00338731;1.73671122;0.00005497;64.22693926
79;0.02172109;0.02131517;0.00281007;1.60680950;0.00004551;59.36059754
80;0.01736880;0.01685052;0.00222128;1.50789946;0.00003590;55.59864622
81;0.01603361;0.01537361;0.00202622;1.41432171;0.00003269;52.07351401
82;0.01273550;0.01207553;0.00159121;1.30811709;0.00002562;48.14000718
83;0.01155775;0.01083798;0.00142775;1.23202096;0.00002295;45.28571604
84;0.00865084;0.00802672;0.00105709;1.15998976;0.00001696;42.62169969
85;0.00841408;0.00772457;0.00101694;1.07458765;0.00001628;39.50325722
86;0.00740216;0.00672881;0.00088553;1.01822855;0.00001415;37.42381745
87;0.00620089;0.00558314;0.00073448;0.95845298;0.00001172;35.23573398
88;0.00471863;0.00420919;0.00055351;0.88620247;0.00000881;32.60135006
89;0.00345813;0.00305699;0.00040183;0.83061066;0.00000639;30.55667402
90;0.00369716;0.00323949;0.00042563;0.80560954;0.00000675;29.60527237
91;0.00356128;0.00309411;0.00040635;0.75197462;0.00000643;27.64605801
92;0.00592858;0.00510958;0.00067076;0.72525492;0.00001060;26.31695039
93;0.09123687;0.07806846;0.01024483;0.81855395;0.00016159;29.96220155
94;0.32659679;0.28342467;0.03724770;1.11122744;0.00058697;41.04025568
95;0.43356925;0.40610133;0.05372130;1.58442773;0.00084797;58.73897149
96;0.50373441;0.52799615;0.07052473;2.30146447;0.00111678;84.45175150
97;0.33046714;0.40089462;0.05424056;2.96539664;0.00086303;108.30556051
98;0.19291984;0.25531067;0.03487573;3.49746335;0.00055665;128.10798395
99;0.14540459;0.19740188;0.02711915;3.74923539;0.00043334;138.80032193
100;0.03565152;0.04844542;0.00668246;3.60761659;0.00010681;133.93838238
101;0.01863532;0.02423859;0.00334345;3.31548716;0.00005335;123.13882692
102;0.01539459;0.01915483;0.00264044;3.01041910;0.00004205;111.94884772
103;0.01211902;0.01449506;0.00199645;2.72669533;0.00003173;101.59745854
104;0.01865979;0.02154603;0.00296478;2.48914934;0.00004702;92.96069432
105;0.02157675;0.02421339;0.00332916;2.26528730;0.00005270;84.86244519
106;0.01527911;0.01674097;0.00230003;2.02794035;0.00003634;76.36321580
107;0.01134135;0.01214874;0.00166750;1.83460365;0.00002629;69.27054335
108;0.01290434;0.01353521;0.00185578;1.67093210;0.00002920;63.38487268
109;0.01198552;0.01234528;0.00169084;1.52483517;0.00002655;58.08701668
110;0.01248540;0.01265097;0.00173082;1.40504458;0.00002712;53.73624386
111;0.01111800;0.01110233;0.00151729;1.27503602;0.00002373;49.00556783
112;0.01122604;0.01106129;0.00150999;1.17055295;0.00002357;45.22735635
113;0.01164394;0.01133604;0.00154577;1.08767633;0.00002407;42.20291920
114;0.01608194;0.01548828;0.00210964;1.01274249;0.00003279;39.45864630
115;0.01966023;0.01877237;0.00255444;0.94966120;0.00003963;37.13620028
116;0.02444713;0.02318476;0.00315203;0.88474773;0.00004880;34.75850307
117;0.06126668;0.05782909;0.00785591;0.89472373;0.00012140;34.63033112
118;0.14751355;0.14003698;0.01902547;1.05441633;0.00029357;40.83827481
119;0.27253251;0.26647727;0.03628157;1.40511467;0.00055960;54.51316198
120;0.26664789;0.27855926;0.03812773;1.85296232;0.00058874;72.16176160
121;0.19900606;0.22164273;0.03050482;2.22146995;0.00047160;87.02885994
122;0.16339467;0.18926005;0.02615040;2.52994109;0.00040443;99.81358079
123;0.09696736;0.11499426;0.01593636;2.65408772;0.00024643;105.44620030
124;0.04350615;0.05147213;0.00714004;2.54107714;0.00011028;101.51257125
125;0.01946408;0.02256451;0.00312778;2.34929620;0.00004821;94.10619254
126;0.01611781;0.01820906;0.00252034;2.10641478;0.00003876;84.67093940
127;0.01363664;0.01505034;0.00207990;1.91403865;0.00003191;77.11666906
128;0.01642119;0.01773809;0.00244746;1.74487115;0.00003746;70.50462309
129;0.01517381;0.01609765;0.00221792;1.58081673;0.00003387;64.12829346
130;0.01409064;0.01471053;0.00202388;1.44278029;0.00003084;58.76130993
131;0.01277604;0.01314628;0.00180603;1.31421113;0.00002746;53.74964658
132;0.01248928;0.01268238;0.00173972;1.21021557;0.00002640;49.68119301
133;0.01200171;0.01204229;0.00164949;1.09619309;0.00002497;45.20612364
134;0.01070141;0.01062060;0.00145264;0.99736458;0.00002194;41.29222547
135;0.00703385;0.00690960;0.00094371;0.91660475;0.00001422;38.09556787
136;0.01223239;0.01189306;0.00162195;0.86130098;0.00002440;35.89602281
137;0.01082924;0.01044343;0.00142237;0.79326016;0.00002135;33.21804029
138;0.00694756;0.00664803;0.00090425;0.72662348;0.00001354;30.62060037
139;0.00458755;0.00435406;0.00059141;0.67487637;0.00000884;28.51752789
140;0.00335905;0.00316190;0.00042887;0.62537310;0.00000640;26.50248880
141;0.07981456;0.07452780;0.01009448;0.74192420;0.00015024;31.20357396
142;0.27230930;0.25726983;0.03485777;1.05929783;0.00051817;44.45627485
143;0.44415926;0.44730250;0.06089358;1.61560598;0.00090610;67.00035020
144;0.39214707;0.44455142;0.06108811;2.24656460;0.00091201;92.09428165
145;0.23697197;0.29884360;0.04144865;2.78142883;0.00062088;113.66995377
146;0.21496736;0.28421521;0.03964053;3.18774217;0.00059471;130.80171880
147;0.11137108;0.15235338;0.02135759;3.35804112;0.00032084;138.94431403
148;0.03729965;0.05044540;0.00708285;3.15300478;0.00010636;131.46095382
149;0.01489888;0.01939811;0.00272065;2.84589331;0.00004078;119.21577179
150;0.01103574;0.01379815;0.00193161;2.51612441;0.00002890;106.02326500
151;0.00926511;0.01118155;0.00156218;2.22745506;0.00002332;94.44984220
152;0.00730819;0.00855377;0.00119259;1.96453175;0.00001777;83.75113187
153;0.00855706;0.00975108;0.00135664;1.74198521;0.00002017;74.70140398
154;0.01010094;0.01125269;0.00156228;1.56191048;0.00002318;67.42185068
155;0.01299818;0.01420409;0.00196800;1.40512505;0.00002913;61.06857306
156;0.00956534;0.01028747;0.00142255;1.27275271;0.00002102;55.76767950
157;0.00561717;0.00595094;0.00082121;1.13801372;0.00001211;50.29491423
158;0.00432360;0.00451527;0.00062175;1.02143270;0.00000915;45.53341268
159;0.00297534;0.00306698;0.00042141;0.92349383;0.00000619;41.51179368
160;0.00302522;0.00308123;0.00042245;0.83597649;0.00000619;37.81215048
161;0.00157989;0.00159200;0.00021779;0.76627953;0.00000318;34.87446373
162;0.00160349;0.00159958;0.00021835;0.70029137;0.00000318;32.13027807
163;0.00150450;0.00148708;0.00020255;0.62904547;0.00000295;29.06514686
164;0.00000000;0.00000000;0.00000000;0.58190136;0.00000000;27.00644907
165;0.04192782;0.04073402;0.00552460;0.68182287;0.00008003;31.58650503
166;0.22267037;0.21678311;0.02936956;1.04462909;0.00042471;48.48627472
167;0.31579697;0.32324647;0.04392677;1.58820313;0.00063545;73.94178549
168;0.38659693;0.42714060;0.05836192;2.26628531;0.00084559;104.99679697
169;0.43281784;0.52827558;0.07273982;3.09500362;0.00105671;141.07050688
170;0.26039218;0.35738729;0.04970032;3.61774520;0.00072473;164.18903679
171;0.15155426;0.21804741;0.03049039;3.89474566;0.00044531;177.11463488
172;0.04998533;0.07166462;0.01004021;3.58715186;0.00014661;164.71796487
173;0.01392961;0.01917235;0.00268144;3.14021742;0.00003908;145.19325243
174;0.01059997;0.01392997;0.00194258;2.73560137;0.00002824;127.25377813
175;0.01281970;0.01620235;0.00225294;2.39280319;0.00003268;112.19840460
176;0.01348694;0.01651862;0.00229053;2.08095783;0.00003315;98.52973707
177;0.01567313;0.01871165;0.00258744;1.81787393;0.00003736;86.94592475
178;0.01269405;0.01484883;0.00204770;1.58375582;0.00002949;76.57886724
179;0.00968042;0.01112467;0.00152981;1.39707805;0.00002198;68.16034476
180;0.00873482;0.00988054;0.00135481;1.24531555;0.00001942;61.32026059
181;0.00557559;0.00622078;0.00085052;1.14056996;0.00001216;56.58585911
182;0.00384229;0.00423157;0.00057684;1.04371600;0.00000823;52.21509500
183;0.00391285;0.00425817;0.00057874;0.96012168;0.00000823;48.52240298
184;0.00397977;0.00428513;0.00058068;0.89108526;0.00000824;45.48904544
185;0.00412905;0.00440350;0.00059498;0.84163169;0.00000842;43.08026795
186;0.00215574;0.00227908;0.00030706;0.80259553;0.00000433;41.59872122
187;0.00218834;0.00229369;0.00030814;0.76469668;0.00000434;39.76347227
188;0.00223551;0.00232445;0.00031140;0.73683119;0.00000437;38.43760614
189;0.01082579;0.01117254;0.00149264;0.77402451;0.00002089;40.19678594
190;0.03446755;0.03538542;0.00471569;0.92091764;0.00006580;48.30983062
191;0.07247828;0.07441522;0.00989801;1.18250936;0.00013777;63.06252255
192;0.08761337;0.09069954;0.01205116;1.47683598;0.00016738;80.58220349
193;0.13123897;0.13722137;0.01821885;1.83826819;0.00025252;102.63705578
194;0.08634400;0.09200868;0.01221828;2.03861119;0.00016907;116.32394252
195;0.08734294;0.09349080;0.01240392;2.15364294;0.00017125;125.01824514
196;0.03248253;0.03489736;0.00462577;2.02852357;0.00006371;119.22640460
197;0.01089322;0.01158068;0.00153167;1.83289346;0.00002103;108.79109784
198;0.01987190;0.02082605;0.00274713;1.66836682;0.00003760;99.67360472
199;0.02945229;0.03055995;0.00402146;1.52063876;0.00005487;91.36244562
200;0.03255631;0.03358175;0.00440976;1.38092071;0.00005998;83.46139988
201;0.03354720;0.03447351;0.00451793;1.27711757;0.00006127;77.51544826
202;0.02974900;0.03049239;0.00398870;1.16963784;0.00005393;71.25989974
203;0.02755235;0.02816995;0.00367800;1.11028332;0.00004958;67.48943839
204;0.02481588;0.02530807;0.00329822;1.04245364;0.00004432;63.66502637
205;0.02854702;0.02903647;0.00377716;0.99761725;0.00005060;61.09026549
206;0.02206690;0.02241573;0.00291103;0.94677109;0.00003888;58.13015132
207;0.01254900;0.01271507;0.00164839;0.91069459;0.00002195;56.08080835
208;0.00938735;0.00946802;0.00122519;0.88139345;0.00001626;54.34744880
209;0.00650436;0.00652672;0.00084305;0.86384398;0.00001115;53.36375850
210;0.00974166;0.00972019;0.00125333;0.83738963;0.00001652;51.86792095
211;0.00630280;0.00626006;0.00080588;0.80839636;0.00001059;50.16599054
212;0.00886845;0.00876213;0.00112621;0.77606987;0.00001475;48.22198402
213;0.00941011;0.00925553;0.00118795;0.78935803;0.00001550;47.61417008
214;0.01797710;0.01760138;0.00225623;0.82974562;0.00002935;49.57660779
215;0.03325975;0.03247467;0.00415853;0.92832271;0.00005393;55.65936150
216;0.04686449;0.04576515;0.00585665;1.05045562;0.00007573;63.32325728
217;0.05577071;0.05459733;0.00698467;1.17957609;0.00009006;71.79256218
218;0.05134933;0.05045304;0.00645384;1.29716641;0.00008299;79.68835677
219;0.03830738;0.03771250;0.00482342;1.34492056;0.00006185;82.92086057
220;0.02442728;0.02401728;0.00307069;1.31323477;0.00003926;81.04575722
221;0.01834934;0.01796466;0.00229546;1.25922276;0.00002926;77.61192404
222;0.04133822;0.04026111;0.00514095;1.19265277;0.00006532;73.72604215
223;0.03624325;0.03531337;0.00450828;1.11988905;0.00005711;68.84624995
224;0.03642689;0.03547683;0.00452804;1.07286472;0.00005719;65.44922994
225;0.03735393;0.03637347;0.00464167;1.03573179;0.00005845;62.64687795
226;0.03421481;0.03332518;0.00425226;0.98007762;0.00005339;60.01021734
227;0.03554237;0.03461250;0.00441611;0.96449415;0.00005528;58.12415155
228;0.04067206;0.03961671;0.00505454;0.94790177;0.00006308;56.45437661
229;0.02836208;0.02766598;0.00353031;0.92089512;0.00004393;54.44258447
230;0.02852648;0.02779192;0.00354629;0.90186598;0.00004399;52.67149290
231;0.01554410;0.01512588;0.00193017;0.86729902;0.00002387;50.13970439
232;0.00768340;0.00744739;0.00095022;0.85161568;0.00001171;48.72338279
233;0.00701392;0.00675996;0.00086234;0.81427037;0.00001059;46.16051180
234;0.00684901;0.00656337;0.00083715;0.80031804;0.00001025;44.86361025
235;0.00407224;0.00388015;0.00049488;0.85019451;0.00000604;46.73546895
236;0.01680105;0.01590607;0.00202856;0.83814829;0.00002469;45.60471124
237;0.04532021;0.04275738;0.00545424;0.81835995;0.00006618;43.95332303
238;0.11705953;0.11070609;0.01413281;0.88749668;0.00017102;44.14142068
239;0.33988789;0.32688386;0.04181633;1.16323979;0.00050499;54.45908772
240;0.43669404;0.44823822;0.05769020;1.60263756;0.00069671;69.90604687
241;0.35304583;0.39659347;0.05147133;2.04991755;0.00062232;84.83944353
242;0.25825702;0.31152188;0.04073025;2.43270770;0.00049279;96.67723143
243;0.19671055;0.24798734;0.03261044;2.64414909;0.00039451;101.72237711
244;0.09266693;0.11973607;0.01581658;2.63742233;0.00019121;98.75106107
245;0.06978197;0.08958970;0.01185846;2.48813004;0.00014309;91.91975394
246;0.05651964;0.07173401;0.00950879;2.30449158;0.00011449;84.50619057
247;0.05000551;0.06263314;0.00831164;2.13020089;0.00009985;77.73175286
248;0.03653099;0.04516155;0.00599877;1.96730395;0.00007189;71.59727151
249;0.03250093;0.03958366;0.00526117;1.81233190;0.00006289;65.82709775
250;0.03737690;0.04487576;0.00596780;1.71349018;0.00007115;62.24975016
251;0.02723102;0.03231282;0.00429999;1.60548693;0.00005114;58.19761820
252;0.03159553;0.03700133;0.00492615;1.49129587;0.00005844;53.91620453
253;0.04871171;0.05642827;0.00751680;1.42772562;0.00008895;51.34667336
254;0.04342680;0.05001537;0.00666890;1.36709402;0.00007874;48.94713326
255;0.03684408;0.04216004;0.00562627;1.29770059;0.00006629;46.20166412
256;0.03796469;0.04311931;0.00575841;1.24883935;0.00006770;44.11825394
257;0.03805268;0.04293205;0.00573768;1.19037252;0.00006731;41.76212468
258;0.02495309;0.02798025;0.00374226;1.09682592;0.00004381;38.02011218
259;0.02746802;0.03053175;0.00408548;1.04771715;0.00004773;36.02664199
260;0.02096196;0.02311907;0.00309525;1.00352529;0.00003608;34.21648070
261;0.02113619;0.02310442;0.00309454;0.99967598;0.00003600;32.54691901
262;0.04551394;0.04931578;0.00660791;1.04457562;0.00007673;32.50318954
263;0.07795203;0.08418497;0.01129021;1.12294536;0.00013090;34.44326065
264;0.14380784;0.15592563;0.02094371;1.30259286;0.00024254;39.93933750
265;0.09081870;0.10034131;0.01351640;1.42668291;0.00015646;43.88908112
266;0.10625475;0.11795320;0.01591764;1.56387983;0.00018408;48.45424401
267;0.09611163;0.10751196;0.01453960;1.64073812;0.00016802;50.95246359
268;0.05411495;0.06080558;0.00823903;1.62849211;0.00009514;50.05404115
269;0.03586418;0.04005399;0.00543291;1.55266570;0.00006266;47.38096307
270;0.03213487;0.03553326;0.00482286;1.46274376;0.00005555;44.33675901
271;0.01819607;0.01991995;0.00270524;1.37099745;0.00003112;41.36268492
272;0.01528186;0.01652342;0.00224459;1.28502809;0.00002578;38.58733583
273;0.01582715;0.01690757;0.00229728;1.22754030;0.00002635;36.68434770
274;0.01648499;0.01741582;0.00236688;1.17416357;0.00002712;34.93307708
275;0.01960481;0.02049963;0.00278664;1.11439087;0.00003189;33.01007807
276;0.01659585;0.01719688;0.00233836;1.05163201;0.00002672;31.00396553
277;0.01632397;0.01675944;0.00227940;0.99010565;0.00002602;29.04305266
278;0.01337274;0.01360920;0.00185135;0.93468326;0.00002110;27.26928898
279;0.00794456;0.00801257;0.00109018;0.88630438;0.00001241;25.71394614
280;0.00792759;0.00791771;0.00107733;0.84395631;0.00001225;24.34923128
281;0.00269175;0.00266339;0.00036241;0.81023391;0.00000412;23.25117445
282;0.00261229;0.00255878;0.00034816;0.76527433;0.00000395;21.84753771
283;0.00000000;0.00000000;0.00000000;0.73332819;0.00000000;20.82129724
284;0.00000000;0.00000000;0.00000000;0.70149149;0.00000000;19.80788245
285;0.02095875;0.01993888;0.00271232;0.74666884;0.00003065;20.79190843
286;0.14325063;0.13556707;0.01844633;0.94926099;0.00020828;27.39786211
287;0.25822144;0.24924449;0.03399535;1.28035610;0.00038390;38.54182511
288;0.28839272;0.29089249;0.03985435;1.66598099;0.00045059;51.68336106
289;0.55074476;0.58453091;0.08050776;2.39498804;0.00091160;74.32144293
290;0.45416697;0.54183845;0.07544032;3.10601884;0.00085784;96.16883888
291;0.20502891;0.26894738;0.03782580;3.49115167;0.00043174;109.11059747
292;0.07431210;0.09927537;0.01403059;3.46501284;0.00016031;108.52160365
293;0.03513262;0.04589628;0.00649676;3.22971802;0.00007418;100.99379777
294;0.02931846;0.03712867;0.00525852;2.91033404;0.00005997;91.17841400
295;0.03297104;0.04058683;0.00575046;2.65768252;0.00006549;83.37576951
296;0.04027125;0.04840531;0.00686124;2.44009926;0.00007804;76.66930872
297;0.05420098;0.06391990;0.00906574;2.24776024;0.00010298;70.64060476
298;0.06245444;0.07270014;0.01032021;2.03639893;0.00011709;64.07592523
299;0.05965605;0.06884482;0.00978325;1.87039705;0.00011088;58.71348261
300;0.05910686;0.06768258;0.00962750;1.71448504;0.00010900;53.74430513
301;0.05506929;0.06265316;0.00892060;1.57476056;0.00010088;49.27144656
302;0.05878820;0.06647300;0.00947259;1.47070312;0.00010701;45.88572463
303;0.06204518;0.06986546;0.00996533;1.37467036;0.00011245;42.62590781
304;0.07606963;0.08545529;0.01220117;1.31861313;0.00013755;40.64278896
305;0.07698465;0.08663773;0.01238603;1.24144785;0.00013952;38.05391060
306;0.08054085;0.09088708;0.01301060;1.17120243;0.00014643;35.66890984
