t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
8,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.30458329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.81529856,NA,NA
8,1,MS,roots,0.01739345,0.00000000,0.00090978,0.00130183,0.00016771,0.98993242,0.00000000,0.00017460,NA,0.06972035,0.07871536,NA,NA,NA,0.05201743,0.60065366,1.00948765,NA,0.89664940,NA,NA,14.26657807,0.00000000,-39.92155521,0.19827546,NA,1.79487921,8.77627951,0.00004870,0.03488136,22.83605299,NA,0.00000000,0.00000319,0.00000000,NA,NA,122.35222890,1.74421473,0.20045314
9,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.26201325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.34635693,NA,NA
9,1,MS,roots,0.01717242,0.00000000,0.00095121,0.00135767,0.00017427,0.98480281,0.00000000,0.00017484,NA,0.06946927,0.07668304,NA,NA,NA,0.05152414,0.59302092,1.00446759,NA,0.89171061,NA,NA,14.30072621,0.00000000,-27.98540381,0.19315626,NA,1.81185493,8.80726316,0.00004808,0.03492944,22.99375683,NA,0.00000000,0.00000330,0.00000000,NA,NA,118.74493638,1.72205033,0.19767645
10,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.20848995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.46590949,NA,NA
10,1,MS,roots,0.01702028,0.00000000,0.00098083,0.00139617,0.00017861,0.98149160,0.00000000,0.00017508,NA,0.06934521,0.07493776,NA,NA,NA,0.05113286,0.58776716,1.00130760,NA,0.88825299,NA,NA,14.33477889,0.00000000,-18.21994448,0.18876009,NA,1.82888732,8.83816125,0.00004766,0.03497710,23.14692685,NA,0.00000000,0.00000337,0.00000000,NA,NA,115.50095594,1.70679415,0.19541582
11,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.14934267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.08161647,NA,NA
11,1,MS,roots,0.01693788,0.00000000,0.00097088,0.00137807,0.00017575,0.98005285,0.00000000,0.00017532,NA,0.06935158,0.07344669,NA,NA,NA,0.05083890,0.58492152,1.00004364,NA,0.88631679,NA,NA,14.36884196,0.00000000,-10.40746805,0.18500425,NA,1.84601251,8.86903378,0.00004743,0.03502452,23.29622299,NA,0.00000000,0.00000331,0.00000000,NA,NA,112.54270003,1.69853079,0.19363716
12,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.08460910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.22199674,NA,NA
12,1,MS,roots,0.01674406,0.00000000,0.00206408,0.00292073,0.00037139,0.97569221,0.00000000,0.00017555,NA,0.06914389,0.07183031,NA,NA,NA,0.05043379,0.57822831,0.99571588,NA,0.88150968,NA,NA,14.40170468,0.00000000,-4.58982787,0.18093277,NA,1.86213117,8.89958131,0.00004688,0.03507141,23.43989785,NA,0.00000000,0.00000697,0.00000000,NA,NA,109.81676495,1.67909465,0.19140799
13,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.01657238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.23405118,NA,NA
13,1,MS,roots,0.01643431,0.03074245,0.00422646,0.00596389,0.00075629,0.96832622,0.00053758,0.00017578,NA,0.06871170,0.07008778,NA,NA,NA,0.04990908,0.56753164,0.98819557,NA,0.87373953,NA,NA,14.43235792,0.00546474,0.15371225,0.17654352,NA,1.87635009,8.92950943,0.00004602,0.03511742,23.57625552,NA,0.00000000,0.00001414,0.00000000,NA,NA,107.30136510,1.64803300,0.18870856
14,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.94328409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.14379051,NA,NA
14,1,MS,roots,0.01619324,0.83420486,0.00426243,0.00600261,0.00075935,0.96282450,0.01506566,0.00017601,NA,0.06840553,0.06855012,NA,NA,NA,0.04946290,0.55920660,0.98252363,NA,0.86746520,NA,NA,14.46730459,0.14743085,4.17102429,0.17267032,NA,1.89510352,8.95925174,0.00004534,0.03516276,23.70879022,NA,0.00000000,0.00001414,0.00000000,NA,NA,104.93432331,1.62385823,0.18641854
