length_0.0-0.05_m,length_0.05-0.1_m,length_0.1-0.15_m,length_0.15-0.2_m,length_0.2-0.25_m,length_0.25-0.3_m,length_0.3-0.35_m,length_0.35-0.4_m,length_0.4-0.45_m,length_0.45-0.5_m,struct_mass_0.0-0.05_m,struct_mass_0.05-0.1_m,struct_mass_0.1-0.15_m,struct_mass_0.15-0.2_m,struct_mass_0.2-0.25_m,struct_mass_0.25-0.3_m,struct_mass_0.3-0.35_m,struct_mass_0.35-0.4_m,struct_mass_0.4-0.45_m,struct_mass_0.45-0.5_m,root_necromass_0.0-0.05_m,root_necromass_0.05-0.1_m,root_necromass_0.1-0.15_m,root_necromass_0.15-0.2_m,root_necromass_0.2-0.25_m,root_necromass_0.25-0.3_m,root_necromass_0.3-0.35_m,root_necromass_0.35-0.4_m,root_necromass_0.4-0.45_m,root_necromass_0.45-0.5_m,surface_0.0-0.05_m,surface_0.05-0.1_m,surface_0.1-0.15_m,surface_0.15-0.2_m,surface_0.2-0.25_m,surface_0.25-0.3_m,surface_0.3-0.35_m,surface_0.35-0.4_m,surface_0.4-0.45_m,surface_0.45-0.5_m,net_hexose_exudation_0.0-0.05_m,net_hexose_exudation_0.05-0.1_m,net_hexose_exudation_0.1-0.15_m,net_hexose_exudation_0.15-0.2_m,net_hexose_exudation_0.2-0.25_m,net_hexose_exudation_0.25-0.3_m,net_hexose_exudation_0.3-0.35_m,net_hexose_exudation_0.35-0.4_m,net_hexose_exudation_0.4-0.45_m,net_hexose_exudation_0.45-0.5_m,total_rhizodeposition_0.0-0.05_m,total_rhizodeposition_0.05-0.1_m,total_rhizodeposition_0.1-0.15_m,total_rhizodeposition_0.15-0.2_m,total_rhizodeposition_0.2-0.25_m,total_rhizodeposition_0.25-0.3_m,total_rhizodeposition_0.3-0.35_m,total_rhizodeposition_0.35-0.4_m,total_rhizodeposition_0.4-0.45_m,total_rhizodeposition_0.45-0.5_m,hexose_degradation_0.0-0.05_m,hexose_degradation_0.05-0.1_m,hexose_degradation_0.1-0.15_m,hexose_degradation_0.15-0.2_m,hexose_degradation_0.2-0.25_m,hexose_degradation_0.25-0.3_m,hexose_degradation_0.3-0.35_m,hexose_degradation_0.35-0.4_m,hexose_degradation_0.4-0.45_m,hexose_degradation_0.45-0.5_m,time_in_days
0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8484510006474965e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.1991148575128554e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010131018180219165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.212494088466757e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.2279272601852813e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1035266297334004e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9458183360095747e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666667
0.0010177534462034986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0500871526587526e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.238156724831024e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5713348928979455e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.966412629635322e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.243057885298913e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333334
0.0013076180264597558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.032303902393752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.875602229939287e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.504136808935883e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.519216695834782e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4018260477108515e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125000001
0.0015982362661954171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.150733957910872e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3.5147051188062124e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.969272332793906e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.986443675455131e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4245165846696747e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666668
0.001888971230957404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.269613223972354e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4.154064699412774e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.725039214565098e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.743619271107661e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0503767046337255e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333499999998
0.0021797429272714048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.38863384961194e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4.79350505692111e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0053796758152959e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0073561945810099e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4367893610061405e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.250000002
0.0024705207138234755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.507677913234322e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5.43295880756247e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1071652769700379e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.109242375552888e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8360894124371315e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291666669
0.0027613004876932542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010626729624951524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,6.072416928543728e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2065010861408592e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2086651841031884e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2397664471175304e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333336
0.0030520794590174543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011745778248111392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,6.711873284635082e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.299128544999752e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3013680047959107e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.645259671201409e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37500000299999997
