Time (days),Sucrose input (mol of sucrose),Final deficit in sucrose of the whole root system (mol of sucrose),Cumulated amount of C present in the root-soil system (mol of C),Cumulated amount of C that has been respired by roots (mol of C),Cumulated amount of C that has been degraded in the soil (mol of C),Root structural mass (g),Root necromass (g),Root length (m),Root surface (m2),Sucrose in the root (mol of sucrose),Hexose in the mobile pool of the roots (mol of hexose),Hexose in the reserve pool of the roots (mol of hexose),Hexose in the soil (mol of hexose),Deficit of sucrose in the root (mol of sucrose),Deficit of hexose in the mobile pool of the roots (mol of hexose),Deficit of hexose in the soil (mol of hexose),CO2 originating from root growth (mol of C),CO2 originating from root maintenance (mol of C),Structural mass produced (g),Hexose unloaded from phloem (mol of hexose),Sucrose reloaded in the phloem (mol of hexose),Hexose mobilized from reserve (mol of hexose),Hexose stored as reserve (mol of hexose),Hexose emitted in the soil (mol of hexose),Hexose taken up from the soil (mol of hexose),Hexose degraded in the soil (mol of hexose),Concentration of hexose in the main root tip (mol of hexose per g)
0.0,0.0,0.0,3.434320103116341e-06,0.0,0.0,6.285803301057579e-05,0.0,0.0011666666666666668,2.5656340004316646e-06,6.285803301057578e-08,6.285803301057578e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA
0.041666667,1.8000000143999998e-06,0.0,2.6535797581282146e-05,7.808561285973768e-08,0.0,0.00011420846541769115,0.0,0.001319521210255692,2.9017786982766362e-06,1.8622669253321467e-06,0.0,0.0,4.4999751864791226e-09,0.0,3.760393237463383e-09,0.0,7.542963961269093e-08,2.6559732470467622e-09,8.235545097201809e-06,1.1822441568568644e-09,0.0,0.0,0.0,4.4999751864791226e-09,0.0,0.0,0.0
0.083333334,1.8000000143999998e-06,0.0,4.655203169635079e-05,7.808561285973768e-08,4.203139505804874e-09,7.10935781077776e-05,0.0,0.001319521210255692,2.9017786982766362e-06,3.65974123619065e-06,5.051407082992648e-09,0.0,3.7175930719940144e-09,0.0,3.6785343739457536e-09,0.0,0.0,0.0,0.0,5.051407082992648e-09,0.0,0.0,0.0,0.0,8.185886351762906e-11,7.00523250967479e-10,0.0006133664527814879
0.125000001,1.8000000143999998e-06,0.0,6.86951751068794e-05,8.503968323001266e-08,7.978925340875645e-09,8.687362194625127e-05,0.0,0.0013318049310018264,2.9287920110749994e-06,5.451178110947763e-06,1.652592103795432e-08,0.0,3.4685746435098226e-09,0.0,3.60718564860156e-09,0.0,6.0616884995911775e-09,8.923818706838025e-10,6.618261635598942e-07,1.712627928577342e-08,0.0,0.0,0.0,4.5162793603846335e-10,7.134872534419346e-11,6.292976391784618e-10,0.0006881330739886556
0.166666668,1.8000000143999998e-06,0.0,9.072202645892861e-05,1.0635204334793436e-07,1.159799997048839e-08,0.00010137042970136288,0.0,0.0013719917137670424,3.017167362129627e-06,7.238193875826408e-06,2.5113718175300243e-08,0.0,3.4123968802395785e-09,0.0,3.5462819349212002e-09,0.0,1.9831105245545168e-08,1.481254872376534e-09,-1.2953021574075403e-05,2.5968499042708564e-08,0.0,0.0,0.0,6.127645551488085e-10,6.57632134835955e-11,6.031791049354575e-10,0.0006520943990304276
0.20833333499999998,1.8000000143999998e-06,0.0,0.00011239545707799166,1.3818339144933364e-07,1.4955145710884177e-08,0.00010762558666145024,0.0,0.0014330618068904314,3.151467511266966e-06,9.019006409289538e-06,3.735755055094876e-08,0.0,3.5370017025984988e-09,0.0,3.4954807730594862e-09,0.0,3.013646181036029e-08,1.6948862910389917e-09,-2.415947567532222e-05,3.8374961873741863e-08,0.0,0.0,0.0,7.433880178085391e-10,5.92589053836532e-11,5.595242900659647e-10,0.0008344782661631778
0.250000002,1.8000000143999998e-06,0.0,0.00013407221175976454,1.8516445922100408e-07,1.8211124502913563e-08,0.00011598639714158242,0.0,0.0015239057462499157,3.3512437680274046e-06,1.0788821174875032e-05,5.8756986488109416e-08,0.0,4.207845516113292e-09,0.0,3.454144429435219e-09,0.0,4.482906066113848e-08,2.152007110531957e-09,-2.5520114344778833e-05,6.037049762900869e-08,0.0,0.0,0.0,1.2700398689162783e-09,5.653292339658727e-11,5.426631320048977e-10,0.0011059438296128117
0.291666669,1.8000000143999998e-06,0.0,0.00015568300032784395,2.5840071940083087e-07,2.1667914466595347e-08,0.0001260724763743864,0.0,0.00166678760115612,3.6654573780206346e-06,1.2541960047588984e-05,9.094577331047823e-08,0.0,5.920795628442548e-09,0.0,3.421362206443323e-09,0.0,7.050838378573123e-08,2.727876394095581e-09,-2.618269138007688e-05,9.372228337209556e-08,0.0,0.0,0.0,2.34972082213617e-09,6.063904919328367e-11,5.761316606136304e-10,0.0014386866113345134
0.333333336,1.8000000143999998e-06,0.0,0.00017716476036757782,3.7093386590082186e-07,2.5911316565514544e-08,0.00013794807688933885,0.0,0.0018879442935455428,4.151806346092615e-06,1.426977352003021e-05,1.3947948843562984e-07,0.0,9.515442813945428e-09,0.0,3.3960173477474098e-09,0.0,1.0913492797257387e-07,3.3982185274171316e-09,-2.435322089511735e-05,1.4437308391755135e-07,0.0,0.0,0.0,4.380288345573285e-09,7.840747691720455e-11,7.072336831531995e-10,0.001857496430030418
0.37500000299999997,1.8000000143999998e-06,0.0,0.00019847519882154366,5.425510907870131e-07,3.1919717930751755e-08,0.00015316707915227532,0.0,0.0022271224784765264,4.897698131918583e-06,1.5959610082714024e-05,2.1148818441544398e-07,0.0,1.6626659043186982e-08,0.0,3.37688791483594e-09,0.0,1.673753861227558e-07,4.241838763435449e-09,-1.7954472657333565e-05,2.2032690343237583e-07,0.0,0.0,0.0,8.233483133117356e-09,1.2086667633626578e-10,1.0014002275395346e-09,0.0023418272415767537
