length_0.0-0.1_m,length_0.1-0.2_m,length_0.2-0.3_m,length_0.3-0.4_m,length_0.4-0.5_m,length_0.5-0.6_m,length_0.6-0.7_m,length_0.7-0.8_m,length_0.8-0.9_m,length_0.9-1.0_m,struct_mass_0.0-0.1_m,struct_mass_0.1-0.2_m,struct_mass_0.2-0.3_m,struct_mass_0.3-0.4_m,struct_mass_0.4-0.5_m,struct_mass_0.5-0.6_m,struct_mass_0.6-0.7_m,struct_mass_0.7-0.8_m,struct_mass_0.8-0.9_m,struct_mass_0.9-1.0_m,root_necromass_0.0-0.1_m,root_necromass_0.1-0.2_m,root_necromass_0.2-0.3_m,root_necromass_0.3-0.4_m,root_necromass_0.4-0.5_m,root_necromass_0.5-0.6_m,root_necromass_0.6-0.7_m,root_necromass_0.7-0.8_m,root_necromass_0.8-0.9_m,root_necromass_0.9-1.0_m,surface_0.0-0.1_m,surface_0.1-0.2_m,surface_0.2-0.3_m,surface_0.3-0.4_m,surface_0.4-0.5_m,surface_0.5-0.6_m,surface_0.6-0.7_m,surface_0.7-0.8_m,surface_0.8-0.9_m,surface_0.9-1.0_m,net_hexose_exudation_0.0-0.1_m,net_hexose_exudation_0.1-0.2_m,net_hexose_exudation_0.2-0.3_m,net_hexose_exudation_0.3-0.4_m,net_hexose_exudation_0.4-0.5_m,net_hexose_exudation_0.5-0.6_m,net_hexose_exudation_0.6-0.7_m,net_hexose_exudation_0.7-0.8_m,net_hexose_exudation_0.8-0.9_m,net_hexose_exudation_0.9-1.0_m,hexose_degradation_0.0-0.1_m,hexose_degradation_0.1-0.2_m,hexose_degradation_0.2-0.3_m,hexose_degradation_0.3-0.4_m,hexose_degradation_0.4-0.5_m,hexose_degradation_0.5-0.6_m,hexose_degradation_0.6-0.7_m,hexose_degradation_0.7-0.8_m,hexose_degradation_0.8-0.9_m,hexose_degradation_0.9-1.0_m,time_in_days
0.0011666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285803301057579e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.5656340004316646e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001319521210255692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011420846541769111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.9017786982766362e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4999751864791226e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666667
0.001319521210255692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.10935781077776e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.9017786982766362e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.185886351762906e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.00523250967479e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333334
0.0013318049310018262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.687362194625125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.928792011074999e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.802792106942694e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.292976391784618e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125000001
0.0013719917137670421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010137042970136286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3.017167362129627e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.470013416652126e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.031791049354574e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666668
0.0014330618068904312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010762558666145023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3.1514675112669655e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.841291124248856e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.595242900659646e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333499999998
0.0015239057462499155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001159863971415824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3.351243768027404e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2135069455196905e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.426631320048976e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.250000002
0.0016667876011561198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001260724763743864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3.6654573780206342e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.289081772942886e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.761316606136304e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291666669
0.0018879442935455428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013794807688933885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4.151806346092614e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3018808686560805e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.072336831531994e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333336
0.002227122478476526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001531670791522753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4.8976981319185825e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.112616456781088e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0014002275395346e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37500000299999997
